un_region,subregionid,ccode,siteid,year,totcarc,illegal
Asia,SS,in,MBJ,2005,17,2
Asia,SS,in,MYS,2005,30,4
Asia,SS,in,SVK,2005,2,0
Asia,SS,in,WYD,2005,8,1
Africa,FC,cd,GAR,2006,34,32
Africa,FC,cd,OKP,2006,5,5
Africa,FC,cd,VIR,2006,3,1
Africa,FC,cf,DZA,2006,2,1
Africa,FC,cg,NDK,2006,5,0
Africa,FC,cg,ODZ,2006,1,0
Africa,FC,cm,BBK,2006,12,0
Africa,FC,cm,WAZ,2006,3,1
Africa,FC,ga,LOP,2006,1,0
Africa,FC,td,ZAK,2006,60,40
Africa,FE,er,GSH,2006,7,1
Africa,FE,ke,EGK,2006,5,2
Africa,FE,ke,MRU,2006,14,7
Africa,FE,ke,SBR,2006,96,13
Africa,FE,ke,TSV,2006,88,15
Africa,FE,rw,AKG,2006,1,0
Africa,FE,tz,KTV,2006,2,2
Africa,FE,tz,RHR,2006,9,8
Africa,FE,tz,TGR,2006,4,1
Africa,FE,ug,MCH,2006,2,2
Africa,FE,ug,QEZ,2006,11,2
Africa,FS,bw,CHO,2006,111,11
Africa,FS,mz,NIA,2006,3,1
Africa,FS,na,ZBZ,2006,5,2
Africa,FS,na,ETO,2006,15,0
Africa,FS,za,KRU,2006,51,0
Africa,FS,zm,SLW,2006,35,27
Africa,FS,zw,CHE,2006,17,2
Africa,FS,zw,NYA,2006,3,2
Africa,FW,bf,NAZ,2006,1,0
Africa,FW,ml,GOU,2006,3,0
Asia,SE,cn,XBN,2006,2,1
Asia,SE,id,WAY,2006,1,0
Asia,SE,kh,MKR,2006,1,0
Asia,SE,mm,ALW,2006,2,2
Asia,SE,my,GMS,2006,2,0
Asia,SE,my,KLU,2006,1,1
Asia,SE,th,SKP,2006,1,0
Asia,SS,bd,CHU,2006,1,0
Asia,SS,in,CHR,2006,2,1
Asia,SS,in,DEO,2006,3,3
Asia,SS,in,DHG,2006,6,0
Asia,SS,in,EDO,2006,17,0
Asia,SS,in,GRO,2006,6,3
Asia,SS,in,MBJ,2006,17,3
Asia,SS,in,MYS,2006,57,24
Asia,SS,in,NIL,2006,36,2
Asia,SS,in,SVK,2006,7,0
Africa,FC,cd,GAR,2007,14,7
Africa,FC,cd,OKP,2007,11,11
Africa,FC,cd,VIR,2007,15,0
Africa,FC,cf,DZA,2007,2,1
Africa,FC,cg,NDK,2007,1,0
Africa,FC,cg,ODZ,2007,36,35
Africa,FC,cm,BBK,2007,1,0
Africa,FC,cm,WAZ,2007,1,0
Africa,FC,td,ZAK,2007,160,155
Africa,FE,er,GSH,2007,4,2
Africa,FE,ke,EGK,2007,2,1
Africa,FE,ke,MRU,2007,11,3
Africa,FE,ke,SBR,2007,97,23
Africa,FE,ke,TSV,2007,56,11
Africa,FE,tz,KTV,2007,2,2
Africa,FE,tz,RHR,2007,2,0
Africa,FE,tz,SEL,2007,103,43
Africa,FE,tz,TGR,2007,5,1
Africa,FE,ug,MCH,2007,2,1
Africa,FE,ug,QEZ,2007,4,4
Africa,FS,bw,CHO,2007,101,14
Africa,FS,na,ZBZ,2007,5,0
Africa,FS,na,ETO,2007,25,0
Africa,FS,za,KRU,2007,34,1
Africa,FS,zm,SLW,2007,11,0
Africa,FS,zw,CHE,2007,14,11
Africa,FS,zw,NYA,2007,10,5
Africa,FW,ci,MAR,2007,8,8
Africa,FW,gh,KAK,2007,1,0
Africa,FW,gh,MOL,2007,5,4
Africa,FW,gn,ZIA,2007,1,1
Africa,FW,lr,SAP,2007,1,1
Africa,FW,ml,GOU,2007,2,0
Asia,SE,cn,XBN,2007,1,1
